ep1,epV,p,q,e,pimg / p,pmx / p,psi,Dp,eta
0.999277237,0.036210738,137.8275661,130.9527429,0.852632736,0.749376165,0.819083593,0.080593773,0.386994593,0.950120114
1.004626773,0.036313138,136.8031928,130.2120691,0.852630838,0.750249043,0.819400263,0.080436285,0.38548711,0.951820396
1.009975262,0.036414851,135.7856982,129.4729162,0.852628953,0.751116053,0.819717653,0.080278699,0.383991727,0.953509228
1.015322735,0.036515882,134.7750224,128.7353235,0.852627081,0.751977285,0.820035762,0.080121014,0.382508241,0.955186809
1.020669228,0.036616237,133.7711065,127.9993291,0.852625221,0.752832829,0.820354592,0.079963224,0.381036454,0.956853333
1.02601477,0.036715921,132.7738925,127.2649699,0.852623373,0.753682774,0.820674141,0.079805329,0.379576171,0.958508992
1.031359393,0.036814942,131.7833233,126.5322816,0.852621538,0.754527206,0.82099441,0.079647324,0.378127202,0.960153974
1.036703129,0.036913304,130.7993426,125.8012988,0.852619715,0.755366213,0.821315401,0.079489206,0.376689359,0.961788464
1.042046006,0.037011012,129.821895,125.0720548,0.852617904,0.756199877,0.821637112,0.079330973,0.375262457,0.963412642
1.047388054,0.037108073,128.8509259,124.3445821,0.852616106,0.757028282,0.821959545,0.07917262,0.373846314,0.965026687
1.052729301,0.037204492,127.8863815,123.6189119,0.852614319,0.757851511,0.822282701,0.079014146,0.372440754,0.966630774
1.058069774,0.037300274,126.9282088,122.8950747,0.852612544,0.758669643,0.822606579,0.078855548,0.371045601,0.968225076
1.063409503,0.037395424,125.9763558,122.1730996,0.85261078,0.759482758,0.82293118,0.078696821,0.369660683,0.969809762
1.068748512,0.037489947,125.0307708,121.453015,0.852609028,0.760290936,0.823256506,0.078537964,0.368285831,0.971384998
1.074086828,0.037583848,124.0914033,120.7348484,0.852607288,0.761094252,0.823582557,0.078378974,0.36692088,0.972950948
1.079424477,0.037677133,123.1582032,120.0186263,0.852605559,0.761892783,0.823909334,0.078219846,0.365565665,0.974507773
1.084761483,0.037769806,122.2311215,119.3043744,0.852603842,0.762686604,0.824236837,0.07806058,0.364220027,0.976055631
1.090097871,0.037861873,121.3101095,118.5921175,0.852602135,0.76347579,0.824565069,0.077901171,0.362883808,0.977594678
1.095433665,0.037953337,120.3951195,117.8818795,0.85260044,0.764260412,0.82489403,0.077741617,0.361556852,0.979125068
1.100768887,0.038044204,119.4861044,117.1736837,0.852598756,0.765040542,0.825223721,0.077581915,0.360239008,0.98064695
1.106103563,0.038134478,118.5830176,116.4675525,0.852597083,0.765816252,0.825554143,0.077422062,0.358930125,0.982160472
1.111437712,0.038224165,117.6858134,115.7635076,0.852595421,0.766587611,0.825885297,0.077262056,0.357630056,0.983665782
1.116771358,0.038313267,116.7944466,115.0615698,0.85259377,0.767354687,0.826217186,0.077101894,0.356338655,0.985163021
1.122104522,0.038401791,115.9088727,114.3617595,0.852592129,0.76811755,0.826549809,0.076941572,0.355055781,0.986652331
1.127437226,0.038489739,115.0290479,113.6640961,0.852590499,0.768876264,0.826883169,0.076781088,0.353781292,0.988133852
1.132769489,0.038577118,114.1549287,112.9685986,0.85258888,0.769630897,0.827217266,0.07662044,0.352515051,0.989607719
1.138101332,0.03866393,113.2864726,112.2752851,0.852587271,0.770381514,0.827552103,0.076459625,0.351256921,0.991074067
1.143432775,0.03875018,112.4236374,111.5841733,0.852585672,0.771128178,0.827887681,0.07629864,0.35000677,0.992533029
1.148763837,0.038835872,111.5663815,110.8952801,0.852584084,0.771870952,0.828224001,0.076137482,0.348764466,0.993984734
1.154094538,0.038921011,110.7146641,110.2086219,0.852582506,0.7726099,0.828561064,0.075976149,0.347529879,0.995429312
1.159424895,0.0390056,109.8684447,109.5242146,0.852580939,0.773345082,0.828898874,0.075814638,0.346302882,0.996866888
1.164754928,0.039089643,109.0276834,108.8420733,0.852579381,0.77407656,0.82923743,0.075652946,0.34508335,0.998297587
1.170084654,0.039173145,108.192341,108.1622129,0.852577834,0.774804392,0.829576736,0.075491071,0.343871158,0.999721532
1.175414092,0.039256109,107.3623785,107.4846474,0.852576296,0.775528638,0.829916792,0.075329011,0.342666187,1.001138842
1.180743257,0.039338538,106.5377578,106.8093905,0.852574768,0.776249357,0.830257601,0.075166762,0.341468316,1.002549637
1.186072168,0.039420438,105.7184411,106.1364554,0.852573251,0.776966605,0.830599164,0.075004322,0.340277427,1.003954034
1.19140084,0.039501811,104.904391,105.4658547,0.852571742,0.777680439,0.830941483,0.074841689,0.339093405,1.005352148
1.196729291,0.039582661,104.0955707,104.7976008,0.852570244,0.778390916,0.831284559,0.07467886,0.337916136,1.006744091
1.202057535,0.039662992,103.291944,104.1317052,0.852568755,0.77909809,0.831628396,0.074515832,0.336745507,1.008129978
1.20738559,0.039742807,102.493475,103.4681793,0.852567276,0.779802016,0.831972995,0.074352603,0.335581407,1.009509916
1.21271347,0.03982211,101.7001283,102.8070341,0.852565806,0.780502748,0.832318357,0.074189171,0.334423728,1.010884015
1.218041191,0.039900905,100.911869,102.1482798,0.852564346,0.781200338,0.832664486,0.074025533,0.333272362,1.012252382
1.223368767,0.039979194,100.1286626,101.4919266,0.852562895,0.781894839,0.833011382,0.073861686,0.332127204,1.013615122
1.228696213,0.040056982,99.35047511,100.8379841,0.852561453,0.782586303,0.833359048,0.073697629,0.33098815,1.014972339
1.234023543,0.040134271,98.57727281,100.1864615,0.852560021,0.78327478,0.833707486,0.073533358,0.329855096,1.016324135
1.239350773,0.040211065,97.80902255,99.53736773,0.852558598,0.783960322,0.834056698,0.073368871,0.328727942,1.017670611
1.244677914,0.040287367,97.04569157,98.89071129,0.852557184,0.784642977,0.834406687,0.073204166,0.327606588,1.019011866
1.250004982,0.040363181,96.28724747,98.24650032,0.852555779,0.785322794,0.834757454,0.073039241,0.326490936,1.020347999
1.25533199,0.04043851,95.5336583,97.60474264,0.852554383,0.785999823,0.835109002,0.072874093,0.32538089,1.021679106
1.26065895,0.040513356,94.78489248,96.96544571,0.852552995,0.78667411,0.835461333,0.072708719,0.324276354,1.023005282
1.265985876,0.040587723,94.04091881,96.32861667,0.852551617,0.787345704,0.835814448,0.072543118,0.323177235,1.024326622
1.27131278,0.040661615,93.30170649,95.69426234,0.852550248,0.788014651,0.836168352,0.072377287,0.322083439,1.025643216
1.276639676,0.040735033,92.56722506,95.06238925,0.852548887,0.788680996,0.836523044,0.072211223,0.320994876,1.026955158
1.281966575,0.040807981,91.83744446,94.4330036,0.852547535,0.789344785,0.836878529,0.072044925,0.319911456,1.028262537
1.287293489,0.040880463,91.11233498,93.80611131,0.852546192,0.790006063,0.837234809,0.07187839,0.31883309,1.029565441
1.292620431,0.04095248,90.39186726,93.18171802,0.852544857,0.790664875,0.837591884,0.071711615,0.317759691,1.030863958
1.297947413,0.041024036,89.67601228,92.55982908,0.852543531,0.791321264,0.837949759,0.071544599,0.316691172,1.032158174
1.303274445,0.041095134,88.96474137,91.94044959,0.852542213,0.791975273,0.838308436,0.071377339,0.31562745,1.033448175
1.30860154,0.041165776,88.2580262,91.32358435,0.852540904,0.792626945,0.838667916,0.071209833,0.31456844,1.034734044
1.313928709,0.041235966,87.55583875,90.70923796,0.852539603,0.793276322,0.839028202,0.071042079,0.31351406,1.036015864
1.319255962,0.041305706,86.85815135,90.09741471,0.852538311,0.793923446,0.839389298,0.070874074,0.312464228,1.037293717
1.324583311,0.041374999,86.16493663,89.48811869,0.852537027,0.794568358,0.839751204,0.070705817,0.311418864,1.038567684
1.329910767,0.041443848,85.47616754,88.88135374,0.852535751,0.795211099,0.840113924,0.070537305,0.31037789,1.039837844
1.335238339,0.041512254,84.79181733,88.27712348,0.852534483,0.795851709,0.84047746,0.070368535,0.309341226,1.041104275
1.340566039,0.041580222,84.11185956,87.67543128,0.852533223,0.796490227,0.840841814,0.070199506,0.308308797,1.042367054
1.345893877,0.041647753,83.43626809,87.07628032,0.852531972,0.797126692,0.84120699,0.070030216,0.307280526,1.043626259
1.351221863,0.04171485,82.76501704,86.47967356,0.852530728,0.797761144,0.841572989,0.069860662,0.306256338,1.044881964
1.356550007,0.041781516,82.09808086,85.88561375,0.852529493,0.798393621,0.841939814,0.069690842,0.30523616,1.046134244
1.361878319,0.041847753,81.43543426,85.29410343,0.852528265,0.79902416,0.842307468,0.069520755,0.304219919,1.047383172
1.367206809,0.041913563,80.77705223,84.70514498,0.852527045,0.799652799,0.842675953,0.069350397,0.303207543,1.04862882
1.372535487,0.04197895,80.12291002,84.11874053,0.852525833,0.800279574,0.843045271,0.069179767,0.302198961,1.049871261
1.377864361,0.042043916,79.47298316,83.53489209,0.852524629,0.800904522,0.843415426,0.069008863,0.301194103,1.051110563
1.383193442,0.042108462,78.82724743,82.95360144,0.852523433,0.80152768,0.84378642,0.068837683,0.3001929,1.052346798
